"bearer","total_share"
"a006698c6bdeedc9fbfc989f191e05883b29a4cb60a4460df20100fe4b959edb","100"
"a00ae0dc03ec0fc0e2a357a132115661f60a6c496a12c1f25cc12e5f0dc8fcc7","99"
"a0006793a40e1ca1eeb7c18c41e58ea46dce44dc19990a5229964d5a2a81ad6f","99"
"a006d3f3b09e7e29c2d6d30fd8206f4b4fa4fd03a387643730a346488feef0b6","97"
"a003749ba4067052503db8d876df14dacd5f97b8b8cc3bacfb2b470210aec356","97"
"a00a51068797effd687cafdcf50947f46b226a6aab61895b386e1a49a5bbb557","94"
"a003a7e82786ba3beaf37ab65909ee4255147bed96ca4a776bf20a3f6b06434c","94"
"a004a156a7418119913b14777df2d894e413cb6d42336ccb59c4b3498ef30eff","92"
"a005f49806d4a6e60a604980b7703b0e32998e6323a8a22b087e61a45721998e","91"
"a00a575e714e94ad0d187c3a95038eb13a80fb1c80d047aa437f36683f7e6157","91"
"a00317fff7b91ffbf01a7fffc76be4be58d6917ebf1cb004e66eb0bf0ad046c2","90"
"a0000f0e3602f7708788c0ce5d8e373e88e065182f82c13b6c849cfe635e10b7","88"
"a002e06a305feb590793a389c374a372f3719c3400d4a59faf9f0992b65c604b","88"
"a00086b8993a682d052121ea9dcd553d715cb480eece8cca40f3855a3d0b1a5c","88"
"a00e126100e3ff961057a562f5f0e40614b15779a64a559d69c3c4a6c295283b","88"
"a001efc417ce13e6a9b1b90c7d08ad8699a3f1a6398c6a389538bfdc2f485d17","81"
"a007471c015f121899b157b144aadf5b0ad736a8759e2dbe7cb34e95e5b78101","81"
"a0075b5b1280f1f5dae046341012a7486ffac647a98876d6d5bf4c1c47185957","80"
"a00ae8a9b8bb952aacdeab3bc1485913a1f724995508ce225ba2522f6eefb8b1","79"
"a007543d82bd34434eaf07a277d0581cbc15f52bfbe619fc751b86de61c8cf91","78"
"a00af7b545729cec491857e6b90929e36eeac1dd5d46f3b3f1be2b2e91702c4e","78"
"a008b9697c08a8e5516d6c5071212c166c714972ab1c8f9e6a8fe420339ef147","76"
"a00018ec10dc4291c0dbd953c7140849ec9ee09217d9949eb2413e3ca629354d","75"
"a00e66ceb04743d8756fdddfc6cb8b452a5bcc8a144a7d4f3f35f1dfccfdd110","72"
"a0059b9563abc7408dabc91a5c9a6ae4cdfca253826aeaee74e13c1452b8103e","72"
"a00b0654fc9b771aaa56724d79711275abef12d9fb3c3fc7eef98edf1b15373e","72"
"a00567bf6ce22dec0a57b9ad420cdc29e54614b941f11b0bb1d49be72604dc42","71"
"a00b9e713a2e51cdcbb1fb16a7eec4cdd10797556a1c20a57aa3708e26443a12","70"
"a00e0cdfcda85eebe142cb92a1de516430a7543e14a7f0e1a221fe294235ecc0","70"
"a0040ae73ad5fd5e2e817c16210433815fa96bf9aaf331d265b5d22e95a6b9b3","68"
"a004b85a9460d71100107381ca7c4a94d0c3d944e08b6b5c12c54b22106a893c","67"
"a004471b77efed7f98a43798da9edb887a24fd6f2adcbdb80e9aad8600f86e0d","66"
"a009b7da57e9450f21ac58211cc187dd461866b4f345f6333477804906675de5","64"
"a00820d7a6aefe0f891fc1191c92a3ffb4983bc334e143c4ee2bc35a47e16107","63"
"a00b1892bb5e3196e7b51e0e23581fa4be1185adfa0eab813a8b4079b28eb3f6","62"
"a0054411a624afb544d90c78b58c97307f5afeb03748e7cd6b6769e3bd2a790d","62"
"a00173d762379c968fa5d19e3bc6c67611db8a400e9803175f86fcf67fc44d4a","57"
"a00b1af7bc71fa58952eaa64f5cafc4ece89089b8acf4385ea389faa84c0b156","56"
"a0077695090a7ad459a572447fc7e8878b2d340fc2e01688b6b6c3904075537a","56"
"a00afd0841508a6a1be7fe31227fbd65cd2cf3bf05b605e2521ff02236802a09","56"
"a0010c1137b180337e16d1362d77ce1a4c4085d049aa5542993ece764f3a4093","55"
"a005d2ba7af2e507e93382eea43ec81f40c3838c0dddbbd2a32ee7ee6bb43781","55"
"a00a097f2cdb6b768a8e728b777b50a59de34a6ab29384c5378151ec25eaabc9","54"
"a009da06b17c9545f0792f4a083596d41eb167c01d5a804a78a685c8e3993452","54"
"a0037b50c32bcd18a79893059c622b9ed7622a9c49721af93c93269d01a9fb1f","54"
"a00e7b46fa3ce360118309ebe7e89a2b0a54709920e0aebb82da4ca1e930d62a","54"
"a005fbeef643d3e9b28bceb2dc3defa19892fdf8cdb6961dfed2952948d2269c","54"
"a0005a566c3020798bea630f2f802cded37d1f46d69b3ea75a5ba2a310f325d0","52"
"a0046146a136afd908d3c1434cc0608e24e97feaf71ce1c194550a7541d94cfe","52"
"a00be2a0bf02bd68c62ef807178c43befc75017c8e5980b779161dce3a45c7f0","49"
"a004e3f7644798fe91e74ea652847654df635f1d74c5691795e900a7d3865c65","49"
"a0064f1e8c941a75705939b02142a384eb3bb9d82148b9f9d9889a04e273892b","49"
"a00300ffcd760240c56fe9d44b1750f4f8290cd963d1792196cb8b92a8c2048c","47"
"a0044e1102701e1519bfb6e45d1349ba93347322ff2f22ea6d068ca80cc2ffc8","46"
"a0059dc39a8a6f9facc2c7f40a304da69381870c5d871562d529b9338771b595","45"
"a0079352db2a10714eeead6b4d9a696e056bef6fd2dd445012380a78316dda2c","45"
"a007f9f263f30dfc703a351433c9021e4f3fd581c327504472a8af02dbb91638","43"
